Name,Price,Rating,Specifications,URL
"Redmi 7A (Matte Gold, 16 GB)","₹6,299","4.31,43,020 Ratings & 10,575 Reviews",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB13.84 cm (5.45 inch) HD+ Display12MP Rear Camera | 5MP Front Camera4000 mAh Li-Polymer BatteryQualcomm Snapdragon 439 ProcessorBrand Warranty of 2 Years Available for Mobile and 6 Months for Accessories,https://www.flipkart.com/redmi-7a-matte-gold-16-gb/p/itm117b7c03ad185?pid=MOBFHZ4BB95WRGT4&lid=LSTMOBFHZ4BB95WRGT4PNKALI&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=a63d34be-61bb-44ef-84c1-bd72cf7cfac8.MOBFHZ4BB95WRGT4.SEARCH&ppt=None&ppn=None&ssid=66tnwrdf6o0000001744007636274&qH=ff5e66b76340c563
"Note 4 (Black, 32 GB)","₹7,299","4.43,21,945 Ratings & 54,013 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB13.97 cm (5.5 inch) Full HD Display13MP Rear Camera | 5MP Front Camera4100 mAh Li-Polymer BatteryQualcomm Snapdragon 625 64-bit Octa Core 2GHz ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,https://www.flipkart.com/note-4-black-32-gb/p/itmeqe4htst9587b?pid=MOBEQ98THNGR4FD5&lid=LSTMOBEQ98THNGR4FD5FGXGLH&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=a63d34be-61bb-44ef-84c1-bd72cf7cfac8.MOBEQ98THNGR4FD5.SEARCH&ppt=None&ppn=None&ssid=66tnwrdf6o0000001744007636274&qH=ff5e66b76340c563
"Y2 (Dark Grey, 32 GB)","₹8,199","4.560,331 Ratings & 4,089 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB15.21 cm (5.99 inch) HD+ Display12MP + 5MP | 16MP Front Camera3080 mAh Li Polymer BatteryQualcomm Snapdragon 625 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,https://www.flipkart.com/y2-dark-grey-32-gb/p/itm4ce00106320c3?pid=MOBF8UKHYMJHW3EU&lid=LSTMOBF8UKHYMJHW3EU9OMASE&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=a63d34be-61bb-44ef-84c1-bd72cf7cfac8.MOBF8UKHYMJHW3EU.SEARCH&ppt=None&ppn=None&ssid=66tnwrdf6o0000001744007636274&qH=ff5e66b76340c563
"Xiaomi 14 CIVI (Cruise Blue, 256 GB)","₹39,999","4.31,300 Ratings & 162 Reviews",8 GB RAM | 256 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,https://www.flipkart.com/xiaomi-14-civi-cruise-blue-256-gb/p/itm34da1cf159d63?pid=MOBHFGU7WVYJPNEV&lid=LSTMOBHFGU7WVYJPNEVNDHOZL&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=a63d34be-61bb-44ef-84c1-bd72cf7cfac8.MOBHFGU7WVYJPNEV.SEARCH&ppt=None&ppn=None&ssid=66tnwrdf6o0000001744007636274&qH=ff5e66b76340c563
"7A (Matte Black, 16 GB)","₹6,100","4.42,17,405 Ratings & 15,112 Reviews",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB13.84 cm (5.45 inch) HD+ Display12MP Rear Camera | 5MP Front Camera4000 mAh Li-Polymer BatteryQualcomm Snapdragon 439 ProcessorBrand Warranty of 2 Years Available for Mobile and 6 Months for Accessories,https://www.flipkart.com/7a-matte-black-16-gb/p/itm117b7c03ad185?pid=MOBFHZ4B6X8WPSRK&lid=LSTMOBFHZ4B6X8WPSRKWIN5CQ&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=a63d34be-61bb-44ef-84c1-bd72cf7cfac8.MOBFHZ4B6X8WPSRK.SEARCH&ppt=None&ppn=None&ssid=66tnwrdf6o0000001744007636274&qH=ff5e66b76340c563
"Mi 10T (Cosmic Black, 128 GB)","₹35,999","4.24,158 Ratings & 574 Reviews",6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display64MP + 13MP + 5MP | 20MP Front Camera5000 mAh Li-ion Polymer BatteryQualcomm Snapdragon 865 Processor144Hz Intelligent AdaptiveSync Display33W Dual Split Flash Charge1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories,https://www.flipkart.com/mi-10t-cosmic-black-128-gb/p/itm58cc0f1ad2682?pid=MOBFWAFZPGHZSHA7&lid=LSTMOBFWAFZPGHZSHA7IVUTXJ&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=a63d34be-61bb-44ef-84c1-bd72cf7cfac8.MOBFWAFZPGHZSHA7.SEARCH&ppt=None&ppn=None&ssid=66tnwrdf6o0000001744007636274&qH=ff5e66b76340c563
"Mi 11 Lite (Vinyl Black, 128 GB)","₹23,999","4.26,451 Ratings & 641 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 512 GB16.64 cm (6.55 inch) Full HD+ Display64MP + 8MP + 5MP | 16MP Front Camera4250 mAh Li-Polymer BatteryQualcomm Snapdragon 732G Processor1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,https://www.flipkart.com/mi-11-lite-vinyl-black-128-gb/p/itmac6203bae9394?pid=MOBG3VSKRKGZKJAR&lid=LSTMOBG3VSKRKGZKJAR6UDWFB&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=a63d34be-61bb-44ef-84c1-bd72cf7cfac8.MOBG3VSKRKGZKJAR.SEARCH&ppt=None&ppn=None&ssid=66tnwrdf6o0000001744007636274&qH=ff5e66b76340c563
"Note 7 Pro (Space Black, 64 GB)","₹10,999","4.57,25,199 Ratings & 59,933 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) Full HD+ Display48MP + 5MP | 13MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 675 ProcessorSplash Proof - Protected by P2iQuick Charge 4.0 SupportBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,https://www.flipkart.com/note-7-pro-space-black-64-gb/p/itm410bac3ec336c?pid=MOBFDXZ36Y4DJBGM&lid=LSTMOBFDXZ36Y4DJBGM74UHYP&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=a63d34be-61bb-44ef-84c1-bd72cf7cfac8.MOBFDXZ36Y4DJBGM.SEARCH&ppt=None&ppn=None&ssid=66tnwrdf6o0000001744007636274&qH=ff5e66b76340c563
"5A (Blue, 16 GB)","₹5,999","4.564,941 Ratings & 7,049 Reviews",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB12.7 cm (5 inch) HD Display13MP Rear Camera | 5MP Front Camera3000 mAh Li-polymer BatteryQualcomm Snapdragon 425 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,https://www.flipkart.com/5a-blue-16-gb/p/itmf2fwcumw7ghwy?pid=MOBF34BKHPZEPGSG&lid=LSTMOBF34BKHPZEPGSGVNKPTH&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=a63d34be-61bb-44ef-84c1-bd72cf7cfac8.MOBF34BKHPZEPGSG.SEARCH&ppt=None&ppn=None&ssid=66tnwrdf6o0000001744007636274&qH=ff5e66b76340c563
"Redmi 10 Prime (Astral White, 64 GB)","₹9,990",4.3119 Ratings & 5 Reviews,4 GB RAM | 64 GB ROM16.51 cm (6.5 inch) Display8MP Rear Camera6000 mAh Battery1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,https://www.flipkart.com/redmi-10-prime-astral-white-64-gb/p/itm4f601c2dd0f55?pid=MOBGK2GFFXXTKPJT&lid=LSTMOBGK2GFFXXTKPJTQBQ51H&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=a63d34be-61bb-44ef-84c1-bd72cf7cfac8.MOBGK2GFFXXTKPJT.SEARCH&ppt=None&ppn=None&ssid=66tnwrdf6o0000001744007636274&qH=ff5e66b76340c563
